covid_phenotype,clinical_code,terminology,description,covid_status,source
03_NIV_treatment,,,Highflownasaloxygen OR NoninvasiveMechanicalventilation == Yes,confirmed,CHESS
03_NIV_treatment,E85.2,OPCS,Non-invasive ventilation NEC,confirmed,HES APC
03_NIV_treatment,E85.6,OPCS,Continuous positive airway pressure,confirmed,HES APC
03_NIV_treatment,,,bressupdays > 0,confirmed,HES CC
03_NIV_treatment,E85.2,OPCS,Non-invasive ventilation NEC,confirmed,SUS
03_NIV_treatment,E85.6,OPCS,Continuous positive airway pressure,confirmed,SUS
04_Covid_inpatient_death,,,DISMETH = 4 (Died),suspected,HES APC
04_Covid_inpatient_death,,,DISDEST = 79 (Not applicable - PATIENT died or still birth),confirmed,HES APC
04_Covid_inpatient_death,,,DISMETH = 4 (Died),confirmed,HES APC
04_Covid_inpatient_death,,,DISDEST = 79 (Not applicable - PATIENT died or still birth),suspected,HES APC
04_Covid_inpatient_death,,,DISCHARGE_DESTINATION_HOSPITAL_PROVIDER_SPELL = 79 (Not applicable - PATIENT died or still birth),confirmed,SUS
04_Covid_inpatient_death,,,DISCHARGE_METHOD_HOSPITAL_PROVIDER_SPELL = 4 (Died),suspected,SUS
04_Covid_inpatient_death,,,DISCHARGE_DESTINATION_HOSPITAL_PROVIDER_SPELL = 79 (Not applicable - PATIENT died or still birth),suspected,SUS
04_Covid_inpatient_death,,,DISCHARGE_METHOD_HOSPITAL_PROVIDER_SPELL = 4 (Died),confirmed,SUS
04_Fatal_with_covid_diagnosis,U071,ICD10,,confirmed,deaths
04_Fatal_with_covid_diagnosis,U072,ICD10,,suspected,deaths
04_Fatal_without_covid_diagnosis,,,ONS death within 28 days,suspected,deaths
